tanggal,16-12-2019,17-12-2019,18-12-2019,19-12-2019,20-12-2019,23-12-2019,26-12-2019,27-12-2019,30-12-2019,31-12-2019,02-01-2020,03-01-2020,06-01-2020,07-01-2020,08-01-2020,09-01-2020,10-01-2020
harga asli,34300,34550,34600,34450,34600,35000,35200,35000,34950,35150,35050,35050,34200,34000,33950,33850
harga prediksi,34401.17536540019,34359.036977690914,34592.40037969396,34627.89171867475,34519.858198257236,34921.46922551765,35107.32260279559,35103.605516628355,35038.7962054659,34941.11608921949,34843.24403992537,34640.64553842788,34840.070003718596,34036.786478882386,33953.28752413761,33945.33513711277,33793.16527064425
Akurasi,99.54509171620573
Waktu,2.7005057334899902
